detailLink,name,peopleNumber,positionInfo,publishTime,workLocation
http://hr.tencent.com/position_detail.php?id=26994&keywords=&tid=0&lid=0,15573-手游客户端开发工程师（上海）,2,技术类,2017-08-30,上海
http://hr.tencent.com/position_detail.php?id=28284&keywords=&tid=0&lid=0,21645-移动互联高级法律顾问（深圳）,1,职能类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=26993&keywords=&tid=0&lid=0,19332-企点后台C++高级开发工程师（上海）,1,技术类,2017-08-30,上海
http://hr.tencent.com/position_detail.php?id=23121&keywords=&tid=0&lid=0,15614-资深数值策划（上海）,1,产品/项目类,2017-08-30,上海
http://hr.tencent.com/position_detail.php?id=23697&keywords=&tid=0&lid=0,15614-手机游戏服务器开发（上海）,1,技术类,2017-08-30,上海
http://hr.tencent.com/position_detail.php?id=25774&keywords=&tid=0&lid=0,MIG09-浏览器社区内容运营经理,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=18114&keywords=&tid=0&lid=0,15614-游戏后台开发工程师（上海）,2,技术类,2017-08-30,上海
http://hr.tencent.com/position_detail.php?id=22746&keywords=&tid=0&lid=0,TEG09-虚拟化研发工程师（深圳）,2,技术类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=32400&keywords=&tid=0&lid=0,18796-WeGame平台产品策划,1,产品/项目类,2017-08-29,深圳
http://hr.tencent.com/position_detail.php?id=32392&keywords=&tid=0&lid=0,MIG16-地图导航惯导开发工程师（北京）,1,技术类,2017-08-29,北京
http://hr.tencent.com/position_detail.php?id=32394&keywords=&tid=0&lid=0,MIG16-车联网产品经理（内容方向）（北京）,1,产品/项目类,2017-08-29,北京
http://hr.tencent.com/position_detail.php?id=32398&keywords=&tid=0&lid=0,WXG09-321 微信市场高级商务经理,1,市场类,2017-08-29,广州
http://hr.tencent.com/position_detail.php?id=32386&keywords=&tid=0&lid=0,22989-腾讯云企业业务中心产品leader（深圳）,2,产品/项目类,2017-08-29,深圳
http://hr.tencent.com/position_detail.php?id=32388&keywords=&tid=0&lid=0,22989-腾讯云企业业务中心架构师Leader（深圳）,2,技术类,2017-08-29,深圳
http://hr.tencent.com/position_detail.php?id=32389&keywords=&tid=0&lid=0,22989-腾讯云企业业务中心架构师Leader（北京）,1,技术类,2017-08-29,北京
http://hr.tencent.com/position_detail.php?id=32390&keywords=&tid=0&lid=0,16078-金融安全解决方案经理（北京）,1,技术类,2017-08-29,北京
http://hr.tencent.com/position_detail.php?id=32391&keywords=&tid=0&lid=0,MIG16-Android研发工程师(深圳),1,技术类,2017-08-29,深圳
http://hr.tencent.com/position_detail.php?id=32393&keywords=&tid=0&lid=0,MIG16-地图数据产品经理,1,产品/项目类,2017-08-29,北京
http://hr.tencent.com/position_detail.php?id=32379&keywords=&tid=0&lid=0,OMG097-交互设计师（北京）,1,设计类,2017-08-29,北京
http://hr.tencent.com/position_detail.php?id=32384&keywords=&tid=0&lid=0,政府及公共事务经理（深圳）,1,职能类,2017-08-29,深圳
http://hr.tencent.com/position_detail.php?id=32385&keywords=&tid=0&lid=0,MIG-HRBP（深圳）,1,职能类,2017-08-29,深圳
http://hr.tencent.com/position_detail.php?id=32387&keywords=&tid=0&lid=0,22989-腾讯云企业业务中心产品leader（北京）,1,产品/项目类,2017-08-29,北京
http://hr.tencent.com/position_detail.php?id=32261&keywords=&tid=0&lid=0,23674-DreamWriter后台开发工程师（北京）,1,技术类,2017-08-29,北京
http://hr.tencent.com/position_detail.php?id=32372&keywords=&tid=0&lid=0,23673-娱乐热点运营编辑（北京）,1,内容编辑类,2017-08-29,北京
http://hr.tencent.com/position_detail.php?id=32374&keywords=&tid=0&lid=0,S2-WL-税务云解决方案专家,1,技术类,2017-08-29,深圳
http://hr.tencent.com/position_detail.php?id=32062&keywords=&tid=0&lid=0,22989-网站备案运营（北京）,2,技术类,2017-08-29,北京
http://hr.tencent.com/position_detail.php?id=32114&keywords=&tid=0&lid=0,MIG07-系统安全研究员（北京）,2,技术类,2017-08-29,北京
http://hr.tencent.com/position_detail.php?id=31730&keywords=&tid=0&lid=0,23671-高级产品经理-算法类（北京）,1,产品/项目类,2017-08-29,北京
http://hr.tencent.com/position_detail.php?id=31585&keywords=&tid=0&lid=0,TEG11-GPU并行计算工程师（深圳）,3,技术类,2017-08-29,深圳
